"","CFR","X..65.and.older.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","HIV.prevalence.raw.value","Unemployment.raw.value","Adult.obesity.raw.value","Excessive.drinking.raw.value","Severe.housing.problems.raw.value","X..below.18.years.of.age.raw.value","StrokeMortality","RespMortalityRate2014","HeartDiseaseMortality","DiabetesPercentage","SVIPercentile","Adult.smoking.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value"
"11",6.25,0.18850784,0.079674547,45982,133.9,0.056865941,0.251,0.204233369,0.155748663,0.201456491,26.9,78.28,209.9,10.4,0.501,0.210383685,0.018466226,0.003158208,0.006780858,0.000334399,0.029352753,0.929590548
"12",2.475247525,0.180670976,0.06845482,54211,157,0.045697846,0.268,0.184056681,0.121427081,0.20544783,32.2,55.39,166.4,11.3,0.1879,0.2038223,0.027854725,0.011490715,0.006925208,0.000102596,0.031941452,0.905817175
"13",2.100840336,0.209164772,0.079616078,49860,466.1,0.050308058,0.24,0.201214526,0.172375691,0.168708428,28.7,55.5,182.4,7.9,0.4159,0.175018893,0.057884988,0.004104572,0.010629789,0.000420982,0.056979877,0.853898291
"14",3.361344538,0.167639323,0.067933094,54256,247.9,0.049042219,0.303,0.204028872,0.148927393,0.180042641,32,60.26,144.5,10.4,0.3424,0.170598023,0.026051636,0.003657189,0.013508256,0.000466875,0.035280203,0.908259022
"15",1.265822785,0.168725203,0.066009758,57703,77.4,0.052425999,0.281,0.20848863,0.110017042,0.195320277,32.6,66.92,157.8,8.3,0.1666,0.181590225,0.016655217,0.007304182,0.008327609,0.00032245,0.02149196,0.933897854
"16",7.407407407,0.163843221,0.066655807,54684,357.3,0.046740251,0.283,0.192408801,0.170851245,0.211309743,32.3,37.67,149.3,8.4,0.5204,0.163862765,0.146491968,0.003935929,0.037383965,0.000694104,0.085317235,0.708377523
"17",5.494505495,0.18335498,0.091981535,42193,177.8,0.056728115,0.291,0.195398762,0.169676927,0.227818817,28.3,55.88,219.8,9.4,0.8306,0.204441061,0.019096518,0.005601104,0.008300187,0.001542333,0.133310334,0.82285494
"18",6.473413209,0.170381197,0.080490845,105486,255.8,0.038941401,0.23,0.179208404,0.226822204,0.217517444,23.3,29.03,188.2,7.2,0.243,0.107440784,0.114639001,0.005094381,0.097137716,0.000934998,0.167747338,0.607913331
"19",4.918032787,0.180470159,0.065530548,50328,115.1,0.057724553,0.316,0.181356338,0.139320113,0.202211959,32.3,58.82,223.5,10.8,0.3318,0.21548647,0.069173302,0.011088129,0.011059795,0.000396679,0.028230338,0.858649968
"20",5.452775073,0.181750941,0.073571251,52404,314.4,0.048447989,0.321,0.203144614,0.150022022,0.212202085,31.4,56.04,199.8,11.9,0.6946,0.165329203,0.059916086,0.003451706,0.041511311,0.000661793,0.055119166,0.823404992
"21",5.99078341,0.160960888,0.070570224,56853,275.3,0.044972636,0.265,0.215058892,0.153168729,0.215706337,33.3,52.16,162.1,9.5,0.5207,0.170211636,0.108579261,0.009129247,0.039341991,0.000499792,0.047851324,0.770844327
"22",8.212560386,0.188503842,0.067490611,58320,104.3,0.043112245,0.283,0.212820372,0.131674208,0.205393889,32.1,56.53,151.8,9,0.2315,0.178326858,0.021879666,0.003532797,0.012565102,0.000382416,0.045197946,0.902939141
"23",3.598503023,0.132649455,0.081384914,71963,305.7,0.042910782,0.301,0.177360051,0.230944756,0.256251154,29,52.02,180.8,8.6,0.5538,0.151319774,0.099720472,0.008259276,0.028519818,0.001009995,0.201052187,0.649698057
"24",11.35371179,0.169859237,0.082849017,50750,720.2,0.056718093,0.314,0.1921407,0.167348223,0.199366323,37.5,62,207.9,13.3,0.643,0.215646757,0.060755575,0.008005611,0.00594979,0.000483723,0.048396459,0.862042277
"25",8.333333333,0.197164584,0.073373872,50034,102.5,0.048834746,0.295,0.203582601,0.173739496,0.162770188,30.4,61.86,180.3,8,0.4236,0.16972892,0.019102451,0.002396126,0.014326838,0.00068223,0.036075012,0.914920878
"26",4.792332268,0.159282103,0.064533256,96267,164.8,0.039850906,0.253,0.23748829,0.205912484,0.204802831,25.3,35.42,165.7,5.1,0.0812,0.154028865,0.025460061,0.003872599,0.022881699,0.00057634,0.142649141,0.796370071
"27",6.517311609,0.160592241,0.062084437,63174,208.2,0.042526878,0.294,0.220203214,0.154777717,0.19986256,29.6,71.77,190.4,7.6,0.343,0.16714353,0.065802461,0.003248579,0.027594178,0.000449803,0.048922347,0.835465734
"28",3.482624895,0.153791542,0.097028423,84358,258.7,0.041694551,0.235,0.159833285,0.26861121,0.277948467,25.2,33.58,150.9,6.9,0.6038,0.11704755,0.115129445,0.005229818,0.065346716,0.001291389,0.17555542,0.630414958
"29",0.833333333,0.167824253,0.059353172,75904,118,0.03793781,0.271,0.221092853,0.122225313,0.207321639,28.8,51.64,151.8,7.6,0.0475,0.15531913,0.016101967,0.002395916,0.027531017,0.000400788,0.030979551,0.907501773
"30",4.35413643,0.163413198,0.068043292,57923,238.6,0.043106064,0.27,0.216116559,0.163626934,0.21762114,27.8,55.44,189.7,8.7,0.3943,0.164991338,0.102476173,0.006916721,0.048300583,0.00214166,0.069005454,0.743466643
"31",0.980392157,0.162816482,0.081932323,50897,273.3,0.065735396,0.304,0.206426334,0.161976912,0.202630001,32,82.2,189.5,9.4,0.7475,0.184719394,0.022710336,0.009996547,0.011868627,0.000708846,0.023364656,0.919700467
"32",7.468879668,0.185795337,0.070156132,50190,109.1,0.057953915,0.325,0.192147483,0.132614751,0.218887972,31.8,67.24,193.4,11,0.4691,0.19451513,0.014503817,0.002939963,0.015793274,0.000288839,0.016618527,0.937187951
"33",4.91637868,0.160456738,0.084990531,92310,232.5,0.043296874,0.248,0.194252306,0.229769717,0.216579581,25.3,38.59,181.8,6.8,0.2146,0.150384303,0.072253938,0.005988947,0.041389323,0.000887723,0.190228617,0.681992224
"34",2.090843547,0.176722236,0.107275804,49016,525.5,0.047515692,0.298,0.184674533,0.217579002,0.213767196,29.4,65.42,190.5,9.8,0.7939,0.1819902,0.081135279,0.007018623,0.01610941,0.000775391,0.156642291,0.725284421
"35",13.07692308,0.188638228,0.065318976,55643,74.1,0.051058692,0.3,0.194423237,0.10728444,0.21685808,31.2,58.42,175.5,10.2,0.1994,0.16902404,0.008470057,0.002461034,0.007629204,0.000430681,0.018621821,0.950902379
"36",1.219512195,0.131475813,0.071860805,55778,147.6,0.041284404,0.244,0.209526147,0.201747522,0.148830468,32.5,45.49,148.2,5.4,0.3462,0.149877856,0.038943083,0.004348199,0.109296183,0.00063888,0.049565657,0.771843503
"37",2.789317507,0.186413726,0.090083741,61421,381.4,0.044064993,0.264,0.234422182,0.205505116,0.18092342,28.4,52.25,182.4,6.8,0.4704,0.158123901,0.05827312,0.004301855,0.02079509,0.000468685,0.10066676,0.796680151
"38",11.76470588,0.209720136,0.068177184,55769,133.5,0.052437385,0.259,0.221914653,0.159386282,0.186054796,28.3,61.39,153.3,6.9,0.1742,0.18180039,0.011166695,0.002927192,0.008657673,0.000247805,0.023727291,0.941099943
"39",4.680851064,0.183576052,0.073962964,51052,361.2,0.04641691,0.308,0.196009071,0.163045727,0.192152104,30.8,65.34,164.9,10.3,0.4,0.190226053,0.029611651,0.002977346,0.005485437,0.000372168,0.026779935,0.925631068
"40",4.477299881,0.161670816,0.103098538,89380,402.8,0.042496115,0.208,0.192357401,0.248239565,0.225017495,23.2,31.82,146.8,6.4,0.5516,0.113797549,0.13701821,0.009021674,0.063922335,0.001257001,0.244207022,0.540104993
"41",3.488372093,0.16444804,0.070412179,56089,452.7,0.052958987,0.272,0.194482369,0.090503505,0.189355495,36,62.29,180.4,10.7,0.3121,0.219263903,0.055257287,0.003824373,0.00517271,0.000294183,0.033291658,0.896104533
"42",15.38461538,0.192673434,0.103127273,48820,33.2,0.044128901,0.263,0.19002053,0.15560166,0.223167356,32.3,66.05,155.6,11.7,0.4392,0.162705833,0.008987682,0.002888898,0.006419773,0.000200618,0.022870441,0.950327007
